idx,ticker,rating,current_price,target_price,target_delta_pct,llm_tokens,llm_cost_usd,elapsed_sec
1,NVDA,BUY,178.77,248.79,39.2,3528,0.001204,0.0
59,UBER,BUY,83.69,107.82,28.8,3550,0.001208,40.3
50,APP,BUY,559.8,710.1,26.8,3519,0.00118,45.2
6,AMZN,BUY,226.28,282.85,25.0,3563,0.001209,36.5
37,MU,BUY,223.93,278.92,24.6,3473,0.001196,29.8
55,INTU,BUY,653.23,805.4,23.3,3496,0.001199,50.5
14,V,BUY,329.3,398.66,21.1,3524,0.001204,44.7
54,DIS,BUY,101.94,122.99,20.6,3544,0.001207,48.6
23,PLTR,BUY,162.25,194.28,19.7,3528,0.001204,30.6
5,MSFT,BUY,474.0,562.64,18.7,3557,0.001209,35.3
12,WMT,BUY,104.06,118.58,14.0,3579,0.001212,33.7
17,XOM,BUY,115.97,132.26,14.0,3543,0.001206,36.0
22,BAC,BUY,51.93,58.94,13.5,3485,0.001198,32.4
44,ABT,BUY,127.19,143.69,13.0,3547,0.001207,45.6
28,GE,BUY,294.05,330.88,12.5,3503,0.001198,31.1
58,QCOM,BUY,165.06,184.89,12.0,3535,0.001205,36.1
4,GOOG,BUY,318.47,354.53,11.3,3548,0.001207,31.7
30,CVX,BUY,149.75,165.63,10.6,3557,0.001209,38.5
56,T,BUY,25.62,27.9,8.9,3553,0.001208,36.5
27,KO,BUY,72.59,78.52,8.2,3554,0.001208,41.8
42,RTX,BUY,173.21,187.24,8.1,3537,0.001206,38.7
52,C,BUY,99.69,107.57,7.9,3561,0.001209,39.0
32,IBM,BUY,304.12,326.92,7.5,3515,0.001202,33.2
7,AVGO,BUY,377.96,405.61,7.3,3536,0.001205,39.2
29,CSCO,BUY,76.24,81.71,7.2,3494,0.001199,40.5
33,WFC,BUY,84.66,90.43,6.8,3506,0.001201,45.7
53,AMAT,BUY,230.91,246.49,6.7,3540,0.001204,31.5
13,JPM,BUY,298.0,316.26,6.1,3507,0.001201,35.1
25,PG,BUY,146.98,154.8,5.3,3549,0.001207,32.7
35,MS,BUY,162.83,171.31,5.2,3558,0.001209,34.0
48,PEP,BUY,145.5,153.1,5.2,3539,0.001206,41.7
2,AAPL,BUY,275.92,289.77,5.0,3540,0.001206,46.7
47,ISRG,HOLD,568.48,594.86,4.6,3485,0.001198,38.2
43,TMO,HOLD,586.07,612.45,4.5,3583,0.001212,68.3
34,CAT,HOLD,559.6,582.52,4.1,3480,0.001197,33.7
36,MRK,HOLD,100.4,104.38,4.0,3537,0.001206,32.8
39,GS,HOLD,790.71,814.86,3.1,3548,0.001204,54.7
51,LRCX,HOLD,150.38,152.48,1.4,3568,0.00121,49.9
3,GOOGL,HOLD,318.58,322.83,1.3,3590,0.001213,33.1
9,TSLA,HOLD,417.78,423.23,1.3,3557,0.001209,34.6
45,MCD,HOLD,304.9,308.93,1.3,3581,0.001212,44.1
38,AXP,HOLD,355.93,356.91,0.3,3588,0.001213,31.7
57,AMGN,HOLD,334.3,332.91,-0.4,3559,0.001201,38.6
8,META,SELL,613.05,551.75,-10.0,3528,0.001204,45.1
10,BRK-B,SELL,507.81,457.03,-10.0,3229,0.001125,24.4
11,LLY,SELL,1070.16,963.14,-10.0,3553,0.001208,32.6
15,ORCL,SELL,200.28,180.25,-10.0,3539,0.001206,30.9
16,JNJ,SELL,206.05,185.45,-10.0,3520,0.001186,29.3
18,MA,SELL,537.85,484.07,-10.0,3513,0.001202,33.6
19,NFLX,SELL,106.97,96.27,-10.0,3547,0.001207,34.1
20,ABBV,SELL,229.51,206.56,-10.0,3525,0.001204,42.5
21,COST,SELL,886.12,797.51,-10.0,3560,0.001209,33.9
24,AMD,SELL,215.05,193.55,-10.0,3450,0.001146,29.1
26,HD,SELL,336.58,302.92,-10.0,3502,0.001195,43.5
31,UNH,SELL,319.05,287.15,-10.0,3537,0.001206,37.2
40,PM,SELL,151.06,135.95,-10.0,3547,0.001207,38.5
41,TMUS,SELL,207.34,186.61,-10.0,3538,0.001206,33.2
46,CRM,SELL,226.82,204.14,-10.0,3550,0.001208,41.8
49,LIN,SELL,407.67,366.9,-10.0,3459,0.001175,38.9
60,NEE,SELL,84.23,75.81,-10.0,3533,0.001205,37.8
